"Nível";"Cód.";"";"Mês";""
"BR";"1";"Brasil";"julho 2011";"3324,8600000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2011";"3337,1600000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2011";"3354,8500000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2011";"3369,2800000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2011";"3386,8000000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2011";"3403,7300000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2012";"3422,7900000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2012";"3438,1900000000000";"Número-índice"
"BR";"1";"Brasil";"março 2012";"3445,4100000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2012";"3467,4600000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2012";"3479,9400000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2012";"3482,7200000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2012";"3497,7000000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2012";"3512,0400000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2012";"3532,0600000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2012";"3552,9000000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2012";"3574,2200000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2012";"3602,4600000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2013";"3633,4400000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2013";"3655,2400000000000";"Número-índice"
"BR";"1";"Brasil";"março 2013";"3672,4200000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2013";"3692,6200000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2013";"3706,2800000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2013";"3715,9200000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2013";"3717,0300000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2013";"3725,9500000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2013";"3738,9900000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2013";"3760,3000000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2013";"3780,6100000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2013";"3815,3900000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2014";"3836,3700000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2014";"3862,8400000000000";"Número-índice"
"BR";"1";"Brasil";"março 2014";"3898,3800000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2014";"3924,5000000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2014";"3942,5500000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2014";"3958,3200000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2014";"3958,7200000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2014";"3968,6200000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2014";"3991,2400000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2014";"4008,0000000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2014";"4028,4400000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2014";"4059,8600000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2015";"4110,2000000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2015";"4160,3400000000000";"Número-índice"
"BR";"1";"Brasil";"março 2015";"4215,2600000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2015";"4245,1900000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2015";"4276,6000000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2015";"4310,3900000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2015";"4337,1100000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2015";"4346,6500000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2015";"4370,1200000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2015";"4405,9500000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2015";"4450,4500000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2015";"4493,1700000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2016";"4550,2300000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2016";"4591,1800000000000";"Número-índice"
"BR";"1";"Brasil";"março 2016";"4610,9200000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2016";"4639,0500000000000";"Número-índice"
