"Tabela 8883 - Índice e variação da receita nominal e do volume de vendas no comércio varejista ampliado, por atividades (2022 = 100)"
"Variável - PMC - Número-índice (2022=100) (Número-índice)"
"Nível";"Cód.";"";"Atividades";"Mês";"Tipos de índice"
"Nível";"Cód.";"";"Atividades";"Mês";"Índice de receita nominal de vendas no comércio varejista ampliado";"Índice de volume de vendas no comércio varejista ampliado"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2021";"88,72411";"93,66047"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2021";"85,23283";"87,59991"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2021";"84,83340";"85,02476"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2021";"89,52175";"87,01094"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2021";"91,27018";"82,49278"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2021";"94,69624";"86,45011"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2022";"85,98320";"79,43250"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2022";"85,29302";"79,27109"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2022";"106,91780";"92,85913"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2022";"107,98783";"90,98318"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2022";"114,48926";"95,58298"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2022";"112,04877";"94,52456"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2022";"112,11756";"109,98873"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2022";"103,94662";"114,14802"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2022";"95,40588";"114,53460"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2022";"95,89581";"116,84811"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2022";"89,24509";"104,80255"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2022";"90,66916";"107,02454"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2023";"90,34655";"100,17000"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2023";"83,93786";"94,71437"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2023";"94,82193";"106,13475"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2023";"86,82088";"98,50652"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2023";"89,31373";"105,90370"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2023";"82,82687";"103,18909"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2023";"87,26574";"107,45487"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2023";"94,57394";"110,26917"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2023";"95,70338";"104,74415"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2023";"96,25249";"105,93988"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2023";"93,03886";"102,75459"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2023";"95,55290";"107,11684"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2024";"89,55197";"100,94327"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2024";"85,23108";"94,50472"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2024";"90,75967";"100,88270"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2024";"91,18133";"100,29897"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2024";"92,84413";"101,63816"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2024";"90,44220";"99,07632"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2024";"95,91534";"102,77278"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2024";"98,44561";"105,19853"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2024";"96,51097";"103,16893"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2024";"100,83989";"108,04159"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2024";"98,57331";"105,79216"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2024";"98,85566";"105,21601"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2025";"96,98924";"102,20679"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2025";"95,28174";"96,57811"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2025";"100,89117";"101,94815"
"BR";"1";"Brasil";"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo";"janeiro 2004";"16,23710";"52,48251"
"BR";"1";"Brasil";"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo";"fevereiro 2004";"15,86037";"51,27204"
"BR";"1";"Brasil";"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo";"março 2004";"16,76453";"54,03883"
"BR";"1";"Brasil";"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo";"abril 2004";"17,36730";"56,28684"
"BR";"1";"Brasil";"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo";"maio 2004";"17,02824";"54,90345"
"BR";"1";"Brasil";"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo";"junho 2004";"16,57616";"53,00128"
"BR";"1";"Brasil";"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo";"julho 2004";"17,85705";"56,63269"
"BR";"1";"Brasil";"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo";"agosto 2004";"17,48031";"55,07637"
"BR";"1";"Brasil";"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo";"setembro 2004";"17,29195";"54,64406"
"BR";"1";"Brasil";"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo";"outubro 2004";"18,64818";"59,05363"
"BR";"1";"Brasil";"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo";"novembro 2004";"17,89472";"56,63269"
"BR";"1";"Brasil";"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo";"dezembro 2004";"23,77172";"74,96266"
"BR";"1";"Brasil";"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo";"janeiro 2005";"17,78170";"55,76807"
"BR";"1";"Brasil";"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo";"fevereiro 2005";"16,57616";"51,79081"
