"Nível";"Cód.";"";"Mês";""
"BR";"1";"Brasil";"julho 2023";"6667,9400000000000"
"BR";"1";"Brasil";"agosto 2023";"6683,2800000000000"
"BR";"1";"Brasil";"setembro 2023";"6700,6600000000000"
"BR";"1";"Brasil";"outubro 2023";"6716,7400000000000"
"BR";"1";"Brasil";"novembro 2023";"6735,5500000000000"
"BR";"1";"Brasil";"dezembro 2023";"6773,2700000000000"
"BR";"1";"Brasil";"janeiro 2024";"6801,7200000000000"
"BR";"1";"Brasil";"fevereiro 2024";"6858,1700000000000"
"BR";"1";"Brasil";"março 2024";"6869,1400000000000"
"BR";"1";"Brasil";"abril 2024";"6895,2400000000000"
"BR";"1";"Brasil";"maio 2024";"6926,9600000000000"
"BR";"1";"Brasil";"junho 2024";"6941,5100000000000"
"BR";"1";"Brasil";"julho 2024";"6967,8900000000000"
"BR";"1";"Brasil";"agosto 2024";"6966,5000000000000"
"BR";"1";"Brasil";"setembro 2024";"6997,1500000000000"
"BR";"1";"Brasil";"outubro 2024";"7036,3300000000000"
"BR";"1";"Brasil";"novembro 2024";"7063,7700000000000"
"BR";"1";"Brasil";"dezembro 2024";"7100,5000000000000"
"BR";"1";"Brasil";"janeiro 2025";"7111,8600000000000"
"BR";"1";"Brasil";"fevereiro 2025";"7205,0300000000000"
"BR";"1";"Brasil";"março 2025";"7245,3800000000000"
